title,stars_rating,url,price_pounds,price_rubles
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,29.17,3001.3
I am a Hero Omnibus Volume 1,3,i-am-a-hero-omnibus-volume-1_898/index.html,54.63,5620.88
How to Be Miserable: 40 Strategies You Already Use,1,how-to-be-miserable-40-strategies-you-already-use_897/index.html,46.03,4736.03
Her Backup Boyfriend (The Sorensen Family #1),1,her-backup-boyfriend-the-sorensen-family-1_896/index.html,33.97,3495.17
"Giant Days, Vol. 2 (Giant Days #5-8)",2,giant-days-vol-2-giant-days-5-8_895/index.html,22.11,2274.9
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,29.69,3054.8
First and First (Five Boroughs #3),4,first-and-first-five-boroughs-3_893/index.html,15.97,1643.15
Fifty Shades Darker (Fifty Shades #2),1,fifty-shades-darker-fifty-shades-2_892/index.html,21.96,2259.46
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,54.35,5592.07
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,37.97,3906.73
Danganronpa Volume 1,4,danganronpa-volume-1_889/index.html,51.99,5349.25
Crown of Midnight (Throne of Glass #2),3,crown-of-midnight-throne-of-glass-2_888/index.html,43.29,4454.11
"Codename Baboushka, Volume 1: The Conclave of Death",4,codename-baboushka-volume-1-the-conclave-of-death_887/index.html,36.72,3778.12
Camp Midnight,4,camp-midnight_886/index.html,17.08,1757.36
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,29.14,2998.21
Burning,3,burning_884/index.html,28.81,2964.26
Bossypants,2,bossypants_883/index.html,49.46,5088.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,37.92,3901.59
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,28.09,2890.18
Algorithms to Live By: The Computer Science of Human Decisions,1,algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,30.81,3170.04
A World of Flavor: Your Gluten Free Passport,1,a-world-of-flavor-your-gluten-free-passport_879/index.html,42.95,4419.13
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,56.76,5840.04
A Murder in Time,1,a-murder-in-time_877/index.html,16.64,1712.09
A Flight of Arrows (The Pathfinders #2),5,a-flight-of-arrows-the-pathfinders-2_876/index.html,55.53,5713.48
A Fierce and Subtle Poison,4,a-fierce-and-subtle-poison_875/index.html,28.13,2894.3
A Court of Thorns and Roses (A Court of Thorns and Roses #1),1,a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,52.37,5388.35
(Un)Qualified: How God Uses Broken People to Do Big Things,5,unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,54.0,5556.06
You Are What You Love: The Spiritual Power of Habit,4,you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,21.87,2250.2
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,43.3,4455.14
Tuesday Nights in 1980,2,tuesday-nights-in-1980_870/index.html,21.04,2164.81
Tracing Numbers on a Train,3,tracing-numbers-on-a-train_869/index.html,41.6,4280.22
Throne of Glass (Throne of Glass #1),3,throne-of-glass-throne-of-glass-1_868/index.html,35.07,3608.35
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,1,thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,59.64,6136.36
Thirteen Reasons Why,1,thirteen-reasons-why_866/index.html,52.72,5424.36
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,58.08,5975.85
The Wedding Dress,1,the-wedding-dress_864/index.html,24.12,2481.71
The Vacationers,4,the-vacationers_863/index.html,42.15,4336.81
The Third Wave: An Entrepreneur’s Vision of the Future,5,the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,12.61,1297.44
The Stranger,4,the-stranger_861/index.html,17.44,1794.4
The Shadow Hero (The Shadow Hero),1,the-shadow-hero-the-shadow-hero_860/index.html,33.14,3409.77
The Secret (The Secret #1),4,the-secret-the-secret-1_859/index.html,27.37,2816.1
The Regional Office Is Under Attack!,5,the-regional-office-is-under-attack_858/index.html,51.36,5284.43
The Psychopath Test: A Journey Through the Madness Industry,2,the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,36.0,3704.04
The Project,1,the-project_856/index.html,10.65,1095.78
The Power of Now: A Guide to Spiritual Enlightenment,2,the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,43.54,4479.83
The Omnivore's Dilemma: A Natural History of Four Meals,2,the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,38.21,3931.43
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,37.34,3841.91
The Murder of Roger Ackroyd (Hercule Poirot #4),4,the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,44.1,4537.45
The Mistake (Off-Campus #2),3,the-mistake-off-campus-2_851/index.html,43.29,4454.11
The Matchmaker's Playbook (Wingmen Inc. #1),1,the-matchmakers-playbook-wingmen-inc-1_850/index.html,55.85,5746.41
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,2,the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,37.6,3868.66
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1,the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,10.97,1128.7
The Kite Runner,4,the-kite-runner_847/index.html,41.82,4302.86
The House by the Lake,1,the-house-by-the-lake_846/index.html,36.95,3801.79
The Glittering Court (The Glittering Court #1),1,the-glittering-court-the-glittering-court-1_845/index.html,44.28,4555.97
The Girl on the Train,2,the-girl-on-the-train_844/index.html,55.02,5661.01
The Genius of Birds,1,the-genius-of-birds_843/index.html,17.24,1773.82
The Emerald Mystery,2,the-emerald-mystery_842/index.html,23.15,2381.9
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,1,the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,41.25,4244.21
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,32.0,3292.48
The Artist's Way: A Spiritual Path to Higher Creativity,5,the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,38.49,3960.24
The Art of War,5,the-art-of-war_838/index.html,33.34,3430.35
The Argonauts,2,the-argonauts_837/index.html,10.93,1124.59
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,27.55,2834.62
Suddenly in Love (Lake Haven #1),2,suddenly-in-love-lake-haven-1_835/index.html,55.99,5760.81
Something More Than This,4,something-more-than-this_834/index.html,16.24,1670.93
Soft Apocalypse,2,soft-apocalypse_833/index.html,26.12,2687.49
So You've Been Publicly Shamed,2,so-youve-been-publicly-shamed_832/index.html,12.23,1258.34
Shoe Dog: A Memoir by the Creator of NIKE,2,shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,23.99,2468.33
"Shobu Samurai, Project Aryoku (#3)",3,shobu-samurai-project-aryoku-3_830/index.html,29.06,2989.98
Secrets and Lace (Fatal Hearts #1),1,secrets-and-lace-fatal-hearts-1_829/index.html,20.27,2085.58
Scarlett Epstein Hates It Here,5,scarlett-epstein-hates-it-here_828/index.html,43.55,4480.86
Romero and Juliet: A Tragic Tale of Love and Zombies,1,romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,36.94,3800.76
Redeeming Love,5,redeeming-love_826/index.html,20.47,2106.16
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,1,poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,41.06,4224.66
Poems That Make Grown Women Cry,4,poems-that-make-grown-women-cry_824/index.html,14.19,1460.01
"Nightingale, Sing",1,nightingale-sing_823/index.html,38.28,3938.63
Night Sky with Exit Wounds,1,night-sky-with-exit-wounds_822/index.html,41.05,4223.63
Mrs. Houdini,5,mrs-houdini_821/index.html,30.25,3112.42
Modern Romance,5,modern-romance_820/index.html,28.26,2907.67
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1,miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,10.76,1107.1
Louisa: The Extraordinary Life of Mrs. Adams,2,louisa-the-extraordinary-life-of-mrs-adams_818/index.html,16.85,1733.7
Little Red,3,little-red_817/index.html,13.47,1385.93
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,48.56,4996.34
Large Print Heart of the Pride,2,large-print-heart-of-the-pride_815/index.html,19.15,1970.34
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,57.36,5901.77
Hollow City (Miss Peregrine’s Peculiar Children #2),1,hollow-city-miss-peregrines-peculiar-children-2_813/index.html,42.98,4422.21
Grumbles,2,grumbles_812/index.html,22.16,2280.04
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,49.43,5085.85
Frostbite (Vampire Academy #2),5,frostbite-vampire-academy-2_810/index.html,29.99,3085.67
Follow You Home,1,follow-you-home_809/index.html,21.36,2197.73
First Steps for New Christians (Print Edition),1,first-steps-for-new-christians-print-edition_808/index.html,29.0,2983.81
Finders Keepers (Bill Hodges Trilogy #2),5,finders-keepers-bill-hodges-trilogy-2_807/index.html,53.53,5507.7
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,fables-vol-1-legends-in-exile-fables-1_806/index.html,41.62,4282.28
Eureka Trivia 6.0,4,eureka-trivia-60_805/index.html,54.59,5616.77
Drive: The Surprising Truth About What Motivates Us,4,drive-the-surprising-truth-about-what-motivates-us_804/index.html,34.95,3596.01
Done Rubbed Out (Reightman & Bailey #1),5,done-rubbed-out-reightman-bailey-1_803/index.html,37.72,3881.01
Doing It Over (Most Likely To #1),3,doing-it-over-most-likely-to-1_802/index.html,35.61,3663.91
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,42.16,4337.84
Dark Notes,5,dark-notes_800/index.html,19.19,1974.46
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3,daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,19.43,1999.15
Close to You,4,close-to-you_798/index.html,49.46,5088.94
Chasing Heaven: What Dying Taught Me About Living,2,chasing-heaven-what-dying-taught-me-about-living_797/index.html,37.8,3889.24
Big Magic: Creative Living Beyond Fear,3,big-magic-creative-living-beyond-fear_796/index.html,30.8,3169.01
Becoming Wise: An Inquiry into the Mystery and Art of Living,2,becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,27.43,2822.27
Beauty Restored (Riley Family Legacy Novellas #3),2,beauty-restored-riley-family-legacy-novellas-3_794/index.html,11.11,1143.11
Batman: The Long Halloween (Batman),2,batman-the-long-halloween-batman_793/index.html,36.5,3755.48
Batman: The Dark Knight Returns (Batman),5,batman-the-dark-knight-returns-batman_792/index.html,15.38,1582.45
Ayumi's Violin,2,ayumis-violin_791/index.html,15.48,1592.74
Anonymous,4,anonymous_790/index.html,46.82,4817.31
Amy Meets the Saints and Sages,3,amy-meets-the-saints-and-sages_789/index.html,18.46,1899.35
Amid the Chaos,1,amid-the-chaos_788/index.html,36.58,3763.72
Amatus,5,amatus_787/index.html,50.54,5200.06
Agnostic: A Spirited Manifesto,5,agnostic-a-spirited-manifesto_786/index.html,12.51,1287.15
Zealot: The Life and Times of Jesus of Nazareth,3,zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html,24.7,2541.38
You (You #1),5,you-you-1_784/index.html,43.61,4487.03
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,37.34,3841.91
Wild Swans,2,wild-swans_782/index.html,14.36,1477.5
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,4,why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html,52.65,5417.16
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,38.2,3930.4
What's It Like in Space?: Stories from Astronauts Who've Been There,2,whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,19.6,2016.64
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,53.9,5545.77
Walt Disney's Alice in Wonderland,5,walt-disneys-alice-in-wonderland_777/index.html,12.96,1333.45
V for Vendetta (V for Vendetta Complete),4,v-for-vendetta-v-for-vendetta-complete_776/index.html,37.1,3817.22
Until Friday Night (The Field Party #1),2,until-friday-night-the-field-party-1_775/index.html,46.31,4764.84
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2,unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html,45.95,4727.8
Twenty Yawns,2,twenty-yawns_773/index.html,22.08,2271.81
Through the Woods,2,through-the-woods_772/index.html,25.38,2611.35
This Is Where It Ends,2,this-is-where-it-ends_771/index.html,27.12,2790.38
The Year of Magical Thinking,2,the-year-of-magical-thinking_770/index.html,43.04,4428.39
The Wright Brothers,4,the-wright-brothers_769/index.html,56.8,5844.15
The White Queen (The Cousins' War #1),5,the-white-queen-the-cousins-war-1_768/index.html,25.91,2665.88
The Wedding Pact (The O'Malleys #2),3,the-wedding-pact-the-omalleys-2_767/index.html,32.61,3355.24
The Time Keeper,5,the-time-keeper_766/index.html,27.88,2868.57
The Testament of Mary,4,the-testament-of-mary_765/index.html,52.67,5419.22
